	userID	Location	Age
0	8	timmins, ontario, canada	
1	277478	schiedam, zuid-holland, netherlands	31.0
2	278144	storm lake, iowa, usa	48.0
3	9	germantown, tennessee, usa	
4	243	arden hills, minnesota, usa	
5	388	nashville, tennessee, usa	35.0
6	2977	richland, washington, usa	25.0
7	3329	grantsville, utah, usa	
8	3363	knoxville, tennessee, usa	29.0
9	5760	springfield, ,	19.0
10	6795	portland, oregon, usa	31.0
11	7346	sunnyvale, california, usa	49.0
12	7352	houston, texas, usa	53.0
13	9419	somewhere, texas, usa	
14	9747	o`fallon, missouri, usa	
15	9856	glendale, colorado, usa	22.0
16	11224	tumwater, washington, usa	51.0
17	11676	n/a, n/a, n/a	
18	12685	charlotte, north carolina, usa	
19	12923	louisville, kentucky, usa	39.0
20	13552	cordova, tennessee, usa	32.0
21	13582	lisboa, lisboa, portugal	29.0
22	14521	providence, rhode island, usa	
23	16666	rogersville, tennessee, usa	
24	16795	mechanicsville, maryland, usa	47.0
25	17761	pinckney, michigan, usa	
26	19445	selden, new york, usa	
27	20435	fairhope, alabama, usa	62.0
28	20462	bossier city, louisiana, usa	
29	20783	york, pennsylvania, usa	
30	20801	rio de janeiro, rio de janeiro, brazil	29.0
31	20916	elmwood, massachusetts, usa	
32	21264	north brunswick, new jersey, usa	31.0
33	23511	chapel hill, north carolina, usa	56.0
34	23768	st. louis, missouri, usa	45.0
35	26240	sacramento, california, usa	
36	26544	woodbridge, virginia, usa	37.0
37	26593	peoria, arizona, usa	
38	27684	knox, pennsylvania, usa	
39	28123	indiuanapolis, indiana, usa	
40	28619	hartford, connecticut, usa	
41	29654	offenbach, hessen, germany	42.0
42	30487	newbury park, california, usa	40.0
43	30533	charleston, south carolina, usa	
44	31299	homer city, pennsylvania, usa	74.0
45	31315	henryville, indiana, usa	34.0
46	31556	chula vista, california, usa	51.0
47	31560	charleston, south carolina, usa	
48	31694	chula vista, california, usa	
49	32516	st. rose, louisiana, usa	44.0
50	35857	mentor, ohio, usa	36.0
51	35859	duluth, minnesota, usa	
52	36606	san marcos, california, usa	39.0
53	37874	williamsburg, virginia, usa	43.0
54	38718	aloha, ,	
55	38991	cumby, texas, usa	68.0
56	39345	jacksonville, florida, usa	47.0
57	39646	fairless hills, pennsylvania, usa	35.0
58	40889	brainerd, minnesota, usa	37.0
59	41781	clinton twp., michigan, usa	54.0
60	44663	klang, selangor, malaysia	
61	45585	san diego, california, usa	
62	46389	pine knoll shores, north carolina, usa	55.0
63	46398	san antonio, texas, usa	37.0
64	46767	leipzig, sachsen, germany	24.0
65	47971	toronto, ontario, canada	40.0
66	48268	vienna, vienna, austria	18.0
67	48911	new orleans, louisiana, usa	57.0
68	49168	ivydale, west virginia, usa	57.0
69	49994	clintonville, wisconsin, usa	40.0
70	52584	livermore, california, usa	45.0
71	52994	colton, oregon, usa	
72	54005	lacey, washington, usa	59.0
73	54884	nashua, new hampshire, usa	33.0
74	55027	burlington, north carolina, usa	44.0
75	55419	cassville, missouri, usa	
76	55492	antioch, illinois, usa	43.0
77	57108	new york, new york, usa	38.0
78	57423	coburg, oregon, usa	
79	57632	pearland, texas,	
80	59038	san antonio, texas, usa	28.0
81	59390	uniontown, pennsylvania, usa	
82	60130	lowell, arkansas, usa	41.0
83	60569	chardon, ohio, usa	41.0
84	60683	hartford, wisconsin, usa	47.0
85	62667	warsaw, virginia, usa	53.0
86	62881	milwaukee, wisconsin, usa	39.0
87	63470	reno, nevada, usa	56.0
88	64535	fredericksburg, virginia, usa	43.0
89	64605	san ramon, california, usa	
90	64679	buffalo grove, illinois, usa	
91	66387	kokomo, indiana, usa	52.0
92	67487	melbourne, florida, usa	33.0
93	68256	chickasha, oklahoma, usa	28.0
94	68537	friendswood, texas, usa	70.0
95	69232	mooresville, north carolina, usa	55.0
96	70205	fresno, california, usa	
97	70666	warwick, rhode island, usa	18.0
98	72523	grand island, new york, usa	
99	72912	defuniak, florida, usa	
100	72975	minneapolis, minnesota, usa	21.0
